model,path,source_repository,model_type,schema,file_size_mb,parse_status,parse_error,validation_service_status,license_status,IfcProject,IfcSite,IfcBuilding,IfcBuildingStorey,IfcSpace,IfcWall,IfcDoor,IfcWindow,IfcSlab,IfcBeam,IfcColumn,IfcStair,IfcRailing,IfcDistributionElement,IfcBuildingElement,has_ifcsite,has_ifcbuilding,has_ifcspace,door_count,wall_count,site_count,completeness_tier
invalid-value-checks-always-fail-for-lists-ba4ade96,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-value_checks_always_fail_for_lists.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
invalid-value-checks-always-fail-for-objects-05a820d6,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-value_checks_always_fail_for_objects.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
invalid-value-checks-always-fail-for-selects-1ffd24b9,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/invalid-value_checks_always_fail_for_selects.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-a-required-facet-checks-all-parameters-as-normal-45edfc66,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-a_required_facet_checks_all_parameters_as_normal.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-an-optional-attribute-passes-if-null-4dea7d59,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-an_optional_attribute_passes_if_null.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-an-optional-attribute-passes-if-specified-75768f49,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-an_optional_attribute_passes_if_specified.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-attributes-referencing-an-object-should-pass-bb249a9a,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_referencing_an_object_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-should-check-strings-case-sensitively-1--3666b52d,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_should_check_strings_case_sensitively_1_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-attributes-with-a-boolean-false-should-pass-0d41a33d,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_boolean_false_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-with-a-boolean-true-should-pass-d08e68aa,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_boolean_true_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-with-a-select-referencing-a-primitive-sh-e024414e,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_select_referencing_a_primitive_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-with-a-select-referencing-an-object-shou-587fb75b,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_select_referencing_an_object_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-with-a-string-value-should-pass-a053963a,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_string_value_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-attributes-with-a-zero-duration-should-pass-e01fb0c8,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_zero_duration_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-attributes-with-a-zero-number-have-meaning-and-shou-adab8513,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-attributes_with_a_zero_number_have_meaning_and_should_pass.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-booleans-must-be-specified-as-lowercase-strings-3-3-39553622,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-booleans_must_be_specified_as_lowercase_strings_3_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-dates-are-treated-as-strings-2-2-e9cfeadf,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-dates_are_treated_as_strings_2_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-durations-are-treated-as-strings-1-2-a3e3132a,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-durations_are_treated_as_strings_1_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-globalids-are-treated-as-strings-and-not-expanded-19160938,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-globalids_are_treated_as_strings_and_not_expanded.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-integers-follow-the-same-rules-as-numbers-d6ff5c49,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-integers_follow_the_same_rules_as_numbers.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,0,0,0,test-fragment
