model,source_repository,schema,model_type,completeness_tier,applicable_rules,target_count,pass_count,model_readiness_index
fail-booleans-must-be-specified-as-lowercase-strings-1-3-a3b2b01e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-both-system-and-value-must-match-all-not-any-if-spe-853dac37,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-comparison-tolerance-for-floating-point-negative-hi-00e9f123,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-negative-hi-175a3d4a,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-negative-lo-57faa52e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-negative-lo-e2cb5ed7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-negative-on-474f3698,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-negative-on-7cc642ff,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-one-lower-b-a91ec57d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-one-upper-b-5d28206b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-positive-hi-004ddf23,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-positive-hi-a404c2d2,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-positive-lo-1a2f258f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-positive-lo-ab3c87f4,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-range-great-4c5c625f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-range-great-fd6f11dc,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-range-lower-0dc94b07,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-range-lower-347c42b4,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-zero-lower--9b8b1921,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-comparison-tolerance-for-floating-point-zero-upper--d2438f53,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-complex-properties-are-not-supported-1-2-4ddb7bb2,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-complex-properties-are-not-supported-2-2-595bfca2,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-dates-are-treated-as-strings-2-2-a1175535,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-durations-are-treated-as-strings-1-2-4e7f6c96,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-elements-with-a-matching-pset-but-no-property-also--f9ee608f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-elements-with-no-properties-always-fail-9a443418,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-elements-without-a-material-always-fail-40ec12aa,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-ids-does-not-handle-string-truncation-such-as-for-i-5385bfc4,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-if-multiple-properties-are-matched-all-values-must--7aab0d25,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-length-checks-can-be-used-1-2-88f9cec6,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-material-with-no-data-will-fail-a-value-check-134e5987,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-max-and-min-length-checks-can-be-used-1-3-97418f2b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-max-and-min-length-checks-can-be-used-4-3-d27e83cc,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-measures-are-used-to-specify-an-ifc-data-type-1-2-09b927da,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-no-matching-value-in-an-enumerated-property-will-fa-f2e9103b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-occurrences-override-the-type-classification-per-sy-1611b298,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,3,0.5
fail-predefined-properties-are-supported-but-discouraged-2fa70912,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,7,7,1,0.14285714285714285
fail-prohibited-specifications-fails-if-the-applicabilit-822dbced,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-properties-can-be-associated-to-relevant-object-typ-877e6881,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,7,25,19,0.76
fail-properties-can-be-overriden-by-an-occurrence-2-2-b605279f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-properties-with-a-null-value-fail-0f640fa3,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-quantities-must-also-match-the-appropriate-measure-6682eb9d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-reference-properties-are-treated-as-objects-and-not-3a5df208,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-regex-patterns-can-be-used-3-3-4dd8939d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-regex-patterns-work-in-OR-3-3-6f0bd19c,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-required-specifications-need-at-least-one-applicabl-40bb672b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,5,2,0.4
fail-restrictions-can-be-specified-for-the-predefined-ty-026a6bbd,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-restrictions-can-be-used-for-systems-1-2-ca553fc7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-restrictions-can-be-used-for-values-3-3-fee62ed4,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-specifying-a-value-fails-against-different-values-16e07819,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-specifying-a-value-performs-a-case-sensitive-match--ecb46d17,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-systems-should-match-exactly-2-5-0489d540,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
fail-the-aggregated-whole-fails-an-aggregate-relationshi-2787074f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,10,3,0.3
fail-the-container-entity-must-match-exactly-1-2-ee356f81,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,7,2,0.2857142857142857
fail-the-container-itself-always-fails-6287e30d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,7,2,0.2857142857142857
fail-the-container-must-be-related-using-specified-relat-ead16789,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,8,3,0.375
fail-the-container-predefined-type-must-match-exactly-1--29d58c5b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,7,2,0.2857142857142857
fail-the-containment-can-be-indirect-2-2-af43df88,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,8,3,0.375
fail-the-nest-entity-must-match-exactly-1-2-2cb2c7d8,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,8,2,0.25
fail-the-nest-predefined-type-must-match-exactly-1-2-f4effee7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,8,3,0.375
fail-unit-conversions-shall-take-place-to-ids-nominated--9e81c1f6,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-user-defined-types-are-checked-case-sensitively-41bee61b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-value-restrictions-may-be-used-3-3-9a8ae1a7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
invalid-a-group-predefined-type-must-match-exactly-1-2-96743a5a,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
invalid-an-entity-not-matching-the-specified-class-shoul-5d9a5e58,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,5,1,0.2
invalid-booleans-must-be-specified-as-lowercase-strings--ab15f350,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-entities-can-be-specified-as-a-xsd-regex-pattern-ee76b476,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-entities-can-be-specified-as-an-enumeration-3-3-f3e0d192,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,5,1,0.2
invalid-entities-must-be-specified-as-uppercase-strings-8eea81e3,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-integer-values-are-checked-using-type-casting-4--a6d843fe,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-integer-values-cannot-be-stored-with-decimal-2-4-839e514b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-integer-values-cannot-be-stored-with-decimal-3-4-2cef7663,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-integers-cannot-be-expressed-as-floating-point-n-e2e01623,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
invalid-invalid-attribute-names-always-fail-15f9ad19,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-invalid-entities-always-fail-c6620761,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-only-specifically-formatted-numbers-are-allowed--11488ebf,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-only-specifically-formatted-numbers-are-allowed--befe15d8,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
invalid-prohibited-specifications-invalid-if-requirement-f152189d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
invalid-specifying-a-float-when-the-value-is-an-integer--23967324,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
invalid-subclasses-are-not-considered-as-matching-922cf776,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-classification-facet-with-no-data-matches-any-cla-9e6a3070,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
pass-a-group-entity-must-match-exactly-2-2-12c25f29,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
pass-a-group-predefined-type-must-match-exactly-2-2-64224726,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
pass-a-grouped-element-passes-a-group-relationship-d5b6ed97,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,4,1,0.25
pass-a-layer-set-name-will-pass-a-value-check-29d852a1,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-matching-entity-should-pass-1b462173,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-matching-predefined-type-should-pass-c3e15ae7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-material-category-may-pass-the-value-check-725422fe,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-material-name-may-pass-the-value-check-7677391f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-minimal-ids-can-check-a-minimal-ifc-2-2-1bd6c51d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,12,4,0.3333333333333333
pass-a-name-check-will-match-any-property-with-any-strin-062c1d4f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
