model,source_repository,model_type,completeness_tier,schema,rule_id,target_count,direct_reference_pass_count,direct_reference_pass_rate
fail-attributes-with-a-logical-unknown-always-fail-297fde45,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,2,2,1.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
